GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.irurueta:irurueta-server-commons-useragent,com.irurueta.server.commons.useragent,UserAgentType,0,134,0,0,0,14,0,1,0,1
com.irurueta:irurueta-server-commons-useragent,com.irurueta.server.commons.useragent,UserAgentConfigurationFactory,0,45,0,6,0,13,0,7,0,4
com.irurueta:irurueta-server-commons-useragent,com.irurueta.server.commons.useragent,BuildInfo,12,113,2,4,4,31,2,11,0,10
com.irurueta:irurueta-server-commons-useragent,com.irurueta.server.commons.useragent,UserAgentData,0,222,1,43,0,57,1,52,0,31
com.irurueta:irurueta-server-commons-useragent,com.irurueta.server.commons.useragent,OperatingSystemFamily,0,404,0,0,0,41,0,1,0,1
com.irurueta:irurueta-server-commons-useragent,com.irurueta.server.commons.useragent,UserAgentDetectionDisabledException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-server-commons-useragent,com.irurueta.server.commons.useragent,UserAgentConfigurationImpl,0,105,0,4,0,36,0,9,0,7
com.irurueta:irurueta-server-commons-useragent,com.irurueta.server.commons.useragent,UserAgentDetector,29,347,11,78,10,125,11,76,0,13
com.irurueta:irurueta-server-commons-useragent,com.irurueta.server.commons.useragent,UserAgentException,0,16,0,0,0,8,0,4,0,4
com.irurueta:irurueta-server-commons-useragent,com.irurueta.server.commons.useragent,DeviceCategory,0,94,0,0,0,10,0,1,0,1
